Plot_name,Plot ID,Latitude (degrees),Longitude (degrees),Elevation (m),Apparent succesional status,Dry Season Moisture Deficit (mm),Annual precipitation (mm),Median growth rate (mm/y),Above ground biomass (Mg /ha),Relative AGB increase (Mg/ha/y),Stems ≥ 10 cm dbh,Census interval (years),ResinP (mg P/kg),Mehlich P (mg P/kg),Total P (mg P/kg),pH (water),pH (CaCl2),Total C (%),Total N (%),Clay (%),Mehlich Al (mg Al/kg),Mehlich Ca (mg Ca/kg),Mehlich Fe (mg Fe/kg),Mehlich K (mg K/kg),Mehlich Mg (mg Mg/kg),Mehlich Mn (mg Mn/kg),Mehlich Zn (mg Zn/kg),NH4 (mg N/kg),NO3 (mg N/kg),Total inorganic N (mg N/kg)
Barro Colorado Island,bci,9.151,-79.855,120,primary,-514,2580.7,1.15,246.4,0.014,421,10,1.71,3.12,771.1,5.88,5.17,4.48,0.44,65,1045.87,1528.43,119.48,84.63,225.18,271.78,4.23,2.21,5.15,7.37
Sherman Crane,sherman,9.281,-79.975,140,primary,-491.7,2848.2,1.49,304.9,0.019,466,13.7,0.34,1.88,253.37,4.71,3.86,5.04,0.38,80.1,1447.63,179.56,183.33,23.12,103.78,10.45,1.96,1.27,0.63,1.9
Plot 04,p04,9.258,-79.953,180,mature,-488.3,2829.9,1.28,284.1,0.01,458,15.3,4.44,3.98,653,5.84,5.34,5.07,0.45,28.6,902.65,4501.95,146.97,87.46,783.43,46.16,4.71,2.53,2.11,4.64
Plot 05,p05,9.157,-79.752,40,mature,-549.6,2325,1.25,273.1,0.007,362,14.2,1.78,2.5,428,6.06,5.13,4.57,0.41,44.6,594.46,1900.08,131.6,35.17,345.02,153.3,5.25,1.29,3.23,4.52
Plot 06,p06,9.157,-79.744,30,mature,-552.9,2311,1.48,219.3,0.019,413,13.6,1.22,2.32,183,4.36,3.94,2.35,0.19,28.9,749.88,361.76,175.48,29.5,112.15,53.77,2.3,0.55,1.79,2.35
Plot 07,p07,9.161,-79.743,60,mature,-551,2323.3,1.72,254.6,0.016,441,14.1,1.39,2.11,282,4.51,4.08,2.49,0.21,42.8,745.45,245.39,183.42,26.66,115.83,49.1,1.67,0.3,1.84,2.15
Plot 08,p08,9.168,-79.746,180,primary,-542.8,2352,1.62,313.3,0.022,543,11.4,0.77,1.52,264,5.29,4.52,2.95,0.27,52.4,1009.09,662.79,169.84,26.09,219.95,268.42,3.69,1.86,2.57,4.43
Plot 09,p09,9.169,-79.741,160,primary,-545.4,2344.7,1.35,322.1,0.012,537,11.5,0.2,1.52,165,4.94,4.52,3.59,0.34,48.8,886.52,1561.64,187.7,37.39,697.98,204.35,2.72,4.81,1,5.8
Plot 10,p10,9.145,-79.859,90,primary,-515.6,2563.6,1.8,263,0.016,390,14.1,3.81,6.72,510,6.34,5.43,4.65,0.43,no data,819.22,3467.31,126.19,127.31,822.21,141.28,4.4,1.16,2.77,3.93
Plot 11,p11,9.145,-79.878,60,mature,-511.8,2601.6,1.81,302.9,0.018,443,14.1,2.81,4.57,571,6.05,5.29,6.6,0.67,91.3,981.53,2822.08,148.26,106.8,928.16,226.58,4.56,1.04,1.36,2.4
Plot 12,p12,9.179,-79.83,10,secondary,-510.5,2595,1.19,212.8,0.019,534,11.5,1.6,2.54,339,5.39,4.43,5.03,0.39,58.8,627.86,974.15,125.76,57.25,424.92,22.52,3.05,0.67,0.25,0.92
Plot 13,p13,9.188,-79.821,55,secondary,-509.4,2590.7,0.76,260.2,0.018,642,11.5,8.44,4.33,552,6.39,5.57,4.99,0.47,51.1,629,5532.53,143.77,315.94,1101.25,77.29,4.74,1.09,3.51,4.59
Plot 14,p14,9.158,-79.861,60,primary,-510.6,2615.6,1.81,223.8,0.023,383,14,1.55,2.77,533,5.95,5.05,4.48,0.41,no data,916.73,1828.54,115.46,53.33,448.66,135.04,1.98,1.61,2.69,4.3
Plot 15,p15,9.162,-79.745,70,mature,-549.4,2330.1,1.03,223,0.014,482,13.8,1.2,1.56,319,5.36,4.96,2.55,0.24,57.9,596.41,1340.03,172.25,68.95,291.77,199.65,3.92,1.18,3.7,4.88
Plot 16,p16,9.147,-79.713,160,mature,-562.8,2247.7,1,289.9,0.014,507,13.4,0.66,1.87,306,5.97,5.01,3.31,0.29,57,523.02,1405.23,155.92,37.49,566.07,168.05,2.15,1.16,2.7,3.86
Plot 18,p18,9.143,-79.883,58,mature,-511.5,2603.2,1.71,284.6,0.019,414,13.9,3.31,3.35,435,6.13,5.49,3.63,0.38,70.2,722.35,2980.58,179.82,117.5,768.98,117.7,5.48,1.11,1.11,2.22
Plot 19,p19,9.199,-79.774,160,mature,-518.5,2491.3,0.93,231.3,0.014,586,11.2,0.6,1.39,217,4.95,4.35,3.5,0.3,65.9,677.13,407.23,93.01,34.27,151.96,161.42,1.74,1.31,1.3,2.61
Plot 20,p20,9.19,-79.764,160,mature,-526.2,2446.1,0.95,218.6,0.017,600,11.1,0.53,1.1,320,5.01,4.18,3.53,0.31,76,617.55,393.98,114.5,63.11,203.96,193.68,2.38,1.35,1.47,2.82
Plot 25,p25,9.079,-79.799,110,secondary,-553.6,2176.9,1.5,228.2,0.037,528,11.6,0.21,2,77,4.61,3.95,3.1,0.21,33.5,1039.1,37.72,154.19,37.53,77.12,22.42,1.34,1.43,1.5,2.92
Plot 26,p26,9.076,-79.787,50,mature,-559.1,2153.5,1.13,293.2,0.02,491,11.8,0.2,1.52,96,4.54,3.77,3.85,0.28,36,1206.57,61.33,169.65,27.72,81.13,5.81,1.74,0.91,1.14,2.06
Plot 27,p27,9.08,-79.645,180,mature,-579,2037.3,0.9,320.8,0.013,340,11.3,5.35,4.44,454,6.24,5.59,2.88,0.24,46.8,667.83,2888.04,211.44,199.73,768.32,64.2,3.68,1.45,1.37,2.82
Plot 28,p28,9.087,-79.642,160,mature,-579,2048.1,1.02,312.6,0.015,391,11.3,2.17,2.48,385,6.23,5.25,3.45,0.29,74.8,827.53,2320.11,195.58,67.76,703.98,120.27,3.4,1.81,1.44,3.25
Plot 32,p32,9.356,-79.727,363,mature,-422.4,3280.5,1.13,348.4,0.012,566,10.5,0.22,1.29,314,5.75,4.86,4.98,0.46,67.7,968.4,1658.26,178.76,66.63,333.04,194.59,5.57,2.52,1.57,4.09
Campo Chagres,campochagres,9.211,-79.6,109,mature,-570.8,2481.2,0.74,230.9,0.01,482,6.7,22.8,22.12,1542,6.59,6.31,9.22,0.83,60.2,648.3,8166.49,128.15,80.75,466.48,73.91,3.63,0.72,5.62,6.34
Finca Coba 1,coba2,9.203,-79.362,515,mature,-426,3104.2,0.67,393.9,0.012,575,7,0.36,1.63,196,5.83,4.98,5.13,0.41,67.6,1084.66,1160.87,142.27,53.15,182.58,295.22,1.31,1.53,1.65,3.18
Finca Coba 2,coba2,9.21,-79.371,643,mature,-392.2,3084.2,0.96,446.5,0.013,752,6.9,0.16,1.36,174,5.66,4.89,4.78,0.4,52.3,1053.6,1373.73,175.34,43.16,192.19,292.59,2.15,2.74,2.73,5.47
El Charco,elcharco,9.084,-79.663,116,mature,-579.1,2050.5,1.52,259.5,0.019,365,6,2.97,4.21,676,5.43,4.64,2.73,0.24,63,1262.17,759.9,156.95,58.76,206.76,141.38,4.72,0.75,1.85,2.6
Gigante Peninsula 1,gigante1,9.099,-79.854,55,primary,-529.6,2332.1,1.33,201.8,0.024,394,8.5,0.75,2.85,255,5.3,4.56,4.6,0.48,81.7,1131.51,1638.23,110.24,29.23,823.87,99.44,no data,0.96,1.36,2.32
Gigante Peninsula 2,gigante2,9.104,-79.854,60,primary,-528.9,2351.9,1.51,222.1,0.022,375,11.7,0.95,2.12,311,5.56,4.87,4.36,0.43,82.7,877.67,1443.2,168.36,67.31,441.99,322.62,3.98,1.13,2.74,3.87
Las Pavas 1,lp1,9.125,-79.905,80,secondary,-513.1,2534.9,1.23,259.3,0.018,443,7.2,0.69,2.63,280,5.36,4.34,3.97,0.33,61.8,1179.59,1133.51,170.94,108.33,470.13,172.14,2.63,1.83,1.06,2.89
Las Pavas 2,lp2,9.125,-79.885,40,secondary,-516.2,2519.5,1.03,274.2,0.02,452,7.1,3.23,3.42,520,6.56,5.62,4.04,0.39,55.4,913.29,3130.13,166.83,216.98,1410.74,180.5,12.52,2.25,2.02,4.27
Metropolitan National Park,metrop,8.995,-79.543,71,secondary,-574.9,1874.3,1.25,233.3,0.022,320,10.5,5.81,7.28,446,7.01,6.15,3.99,0.32,58.1,736.31,3340.11,169.27,165.74,767.91,112.5,no data,1.36,2.68,4.04
